drug_1,drug_2,pt,final_outcome,case_count,support,confidence,lift
MYCOPHENOLATE MOFETIL,AZATHIOPRINE,Drug ineffective,Moderate,12,0.002,0.13,1.82
VALPROIC ACID,LAMOTRIGINE,Drug ineffective,Moderate,7,0.0012,0.12,1.8
LAMOTRIGINE,RISPERIDONE,Drug ineffective,Moderate,6,0.001,0.12,1.73
CYCLOSPORINE,PREDNISOLONE,Drug ineffective,Moderate,20,0.0034,0.12,1.73
LAMOTRIGINE,ZOLPIDEM,Drug ineffective,Moderate,6,0.001,0.12,1.69
MELATONIN,BACLOFEN,Drug ineffective,Moderate,5,0.0008,0.12,1.68
GABAPENTIN,BACLOFEN,Drug ineffective,Moderate,12,0.002,0.11,1.65
VANCOMYCIN,CEFTRIAXONE,Drug ineffective,Moderate,5,0.0008,0.11,1.64
VALPROIC ACID,RISPERIDONE,Drug ineffective,Moderate,5,0.0008,0.11,1.6
GABAPENTIN,CEFTRIAXONE,Off label use,Moderate,6,0.001,0.06,1.56
NAPROXEN,TOPIRAMATE,Off label use,Moderate,8,0.0013,0.06,1.52
DULOXETINE,PREGABALIN,Drug ineffective,Moderate,8,0.0013,0.11,1.52
LACOSAMIDE,LEVETIRACETAM,Off label use,Moderate,17,0.0029,0.06,1.49
GABAPENTIN,MELATONIN,Off label use,Moderate,8,0.0013,0.06,1.49
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Off label use,Moderate,23,0.0039,0.06,1.48
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Drug ineffective for unapproved indication,Moderate,5,0.0008,0.01,1.43
LACOSAMIDE,LEVETIRACETAM,Therapy non-responder,Moderate,5,0.0008,0.02,1.38
CYCLOSPORINE,AZATHIOPRINE,Drug ineffective,Moderate,8,0.0013,0.08,1.2
LAMOTRIGINE,TOPIRAMATE,Off label use,Moderate,6,0.001,0.05,1.19
TOPIRAMATE,RITUXIMAB,Off label use,Moderate,8,0.0013,0.05,1.18
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Off label use,Moderate,24,0.004,0.04,1.1
CYCLOSPORINE,PREDNISOLONE,Off label use,Moderate,7,0.0012,0.04,1.06
LAMOTRIGINE,LACOSAMIDE,Drug ineffective,Moderate,6,0.001,0.07,1.04
HALOPERIDOL,RISPERIDONE,Drug ineffective,Moderate,6,0.001,0.07,0.94
LAMOTRIGINE,TOPIRAMATE,Drug ineffective,Moderate,8,0.0013,0.06,0.91
GABAPENTIN,PREGABALIN,Drug ineffective,Moderate,5,0.0008,0.06,0.89
LAMOTRIGINE,LEVETIRACETAM,Drug ineffective,Moderate,10,0.0017,0.05,0.79
GABAPENTIN,MELATONIN,Drug ineffective,Moderate,7,0.0012,0.05,0.74
MYCOPHENOLATE MOFETIL,CYCLOSPORINE,Drug ineffective,Moderate,20,0.0034,0.05,0.73
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Condition aggravated,Moderate,5,0.0008,0.01,0.7
PREDNISOLONE,AZATHIOPRINE,Drug ineffective,Moderate,6,0.001,0.03,0.47
MYCOPHENOLATE MOFETIL,PREDNISOLONE,Drug ineffective,Moderate,16,0.0027,0.03,0.42
